lounge_id,capacity,day_num,day_of_week,is_weekend,hour,season,flight_delay,has_major_event,occupancy_pct
Lounge_A,182,0,Monday,0,0,spring,0,0,7.94
Lounge_A,182,0,Monday,0,1,spring,0,0,4.48
Lounge_A,182,0,Monday,0,2,spring,0,0,16.78
Lounge_A,182,0,Monday,0,3,spring,0,0,6.18
Lounge_A,182,0,Monday,0,4,spring,0,0,4.27
Lounge_A,182,0,Monday,0,5,spring,0,0,3.79
Lounge_A,182,0,Monday,0,6,spring,0,0,80.85
Lounge_A,182,0,Monday,0,7,spring,0,0,88.08
Lounge_A,182,0,Monday,0,8,spring,0,0,88.71
Lounge_A,182,0,Monday,0,9,spring,0,0,70.45
Lounge_A,182,0,Monday,0,10,spring,0,0,53.39
Lounge_A,182,0,Monday,0,11,spring,0,0,56.28
Lounge_A,182,0,Monday,0,12,spring,0,0,59.24
Lounge_A,182,0,Monday,0,13,spring,0,0,78.3
Lounge_A,182,0,Monday,0,14,spring,0,0,73.06
Lounge_A,182,0,Monday,0,15,spring,0,0,48.17
Lounge_A,182,0,Monday,0,16,spring,0,0,37.38
Lounge_A,182,0,Monday,0,17,spring,0,0,78.41
Lounge_A,182,0,Monday,0,18,spring,0,0,79.86
Lounge_A,182,0,Monday,0,19,spring,0,0,99.7
Lounge_A,182,0,Monday,0,20,spring,0,0,79.35
Lounge_A,182,0,Monday,0,21,spring,0,0,38.44
Lounge_A,182,0,Monday,0,22,spring,0,0,33.74
Lounge_A,182,0,Monday,0,23,spring,1,0,43.93
Lounge_A,182,1,Tuesday,0,0,spring,0,0,9.08
Lounge_A,182,1,Tuesday,0,1,spring,0,0,15.22
Lounge_A,182,1,Tuesday,0,2,spring,0,0,9.95
Lounge_A,182,1,Tuesday,0,3,spring,0,0,16.63
Lounge_A,182,1,Tuesday,0,4,spring,0,0,13.94
Lounge_A,182,1,Tuesday,0,5,spring,0,0,11.99
Lounge_A,182,1,Tuesday,0,6,spring,1,0,89.31
Lounge_A,182,1,Tuesday,0,7,spring,0,0,72.35
Lounge_A,182,1,Tuesday,0,8,spring,0,0,69.09
Lounge_A,182,1,Tuesday,0,9,spring,1,0,92.08
Lounge_A,182,1,Tuesday,0,10,spring,0,0,59.98
Lounge_A,182,1,Tuesday,0,11,spring,0,0,46.91
Lounge_A,182,1,Tuesday,0,12,spring,0,0,64.89
Lounge_A,182,1,Tuesday,0,13,spring,0,0,63.55
Lounge_A,182,1,Tuesday,0,14,spring,0,0,61.36
Lounge_A,182,1,Tuesday,0,15,spring,0,0,57.0
Lounge_A,182,1,Tuesday,0,16,spring,0,0,41.16
Lounge_A,182,1,Tuesday,0,17,spring,0,0,78.68
Lounge_A,182,1,Tuesday,0,18,spring,0,0,75.31
Lounge_A,182,1,Tuesday,0,19,spring,0,0,90.63
Lounge_A,182,1,Tuesday,0,20,spring,0,0,75.95
Lounge_A,182,1,Tuesday,0,21,spring,0,0,25.31
Lounge_A,182,1,Tuesday,0,22,spring,0,0,51.46
Lounge_A,182,1,Tuesday,0,23,spring,0,0,26.6
Lounge_A,182,2,Wednesday,0,0,spring,0,0,14.6
Lounge_A,182,2,Wednesday,0,1,spring,0,0,16.85
Lounge_A,182,2,Wednesday,0,2,spring,0,0,19.77
Lounge_A,182,2,Wednesday,0,3,spring,0,0,10.56
